user_id,segment,ab_group,drop,activacion,setup,habito_calc
MLB410390720050,2,treatment,0,1,1,1
MLB2031141160,1,treatment,0,1,0,0
MLB6493787800,1,treatment,0,1,1,0
MLB10564105150,1,treatment,0,1,1,0
MLB7776748210,1,treatment,0,1,0,0
MLB2274734870,1,treatment,0,1,1,0
MLB10263203860,1,treatment,0,1,1,0
MLB10610750720,1,treatment,0,1,0,0
MLB4854341820,1,treatment,0,1,1,0
MLB410589300770,2,treatment,0,1,1,1
MLB410523151730,2,treatment,0,1,1,1
MLB410554685650,2,treatment,0,0,0,0
MLB10634012110-1,1,treatment,0,1,0,0
MLB410654234110,2,treatment,0,1,1,1
MLB10510053700,1,treatment,0,1,1,0
MLB10510676150,1,treatment,0,1,1,0
MLB10602296700,1,treatment,0,1,1,0
MLB2077770500,1,treatment,0,1,1,0
MLB7070718290,1,treatment,0,1,1,0
MLB10545288920,1,treatment,0,1,1,0
MLB10386282070,1,treatment,0,1,0,0
MLB2698910180,1,treatment,0,1,1,0
MLB10562323840,1,treatment,0,1,1,0
MLB10373046420,1,treatment,0,1,1,0
MLB10592033580,1,treatment,0,1,1,0
MLB10619670770,1,treatment,0,1,1,0
MLB10657529160,1,treatment,0,1,1,0
MLB10561424890-1,1,treatment,0,1,1,0
MLB10483804640,1,treatment,0,1,1,0
MLB10637686740,1,treatment,0,1,1,0
MLB10478652450,1,treatment,0,1,1,0
MLB10548843880,1,control,0,1,0,0
MLB10644538370,1,treatment,0,1,1,0
MLB5881267190,1,treatment,0,1,1,0
MLB10608048410,1,treatment,1,1,0,0
MLB767890190,1,treatment,0,1,1,0
MLB10630768550,1,treatment,0,1,0,0
MLB44506362280,2,treatment,0,1,0,1
MLB10524272840-1,1,treatment,0,1,1,0
MLB767890190,1,treatment,0,1,1,0
MLB10505012520,1,treatment,0,1,1,0
MLB10564649840,1,control,0,1,1,0
MLB42274271190,2,treatment,0,1,1,1
MLB10647858090,1,treatment,0,1,1,0
MLB2043280950,1,treatment,0,1,1,0
MLB10609284680,1,treatment,0,1,1,0
MLB10647858090,1,treatment,0,1,1,0
MLB10589794890-1,1,treatment,0,1,1,0
MLB2304028850,1,treatment,0,1,1,0
MLB10605436550,1,treatment,0,1,1,0
MLB4724885570,1,treatment,0,1,1,0
MLB2944987270,1,treatment,0,1,1,0
MLB10549266970,1,treatment,0,1,1,0
MLB410620325410,2,treatment,0,1,1,1
MLB5326872580,1,treatment,0,1,1,0
MLB410610492810,2,treatment,0,1,1,1
MLB6173001750,1,treatment,0,1,0,0
MLB10614454400,1,treatment,0,1,1,0
MLB410591053650,2,control,0,1,1,1
MLB8162230670,1,treatment,0,1,1,0
MLB410509231250,2,control,0,1,1,1
MLB48071221400,2,treatment,0,1,1,1
MLB10561963770,1,treatment,0,1,0,0
MLB2019472930,1,treatment,0,1,1,0
MLB6384745530,1,treatment,0,1,1,0
MLB10538179450,1,treatment,0,1,1,0
MLB10636196380,1,treatment,0,1,1,0
MLB43229038590,2,treatment,0,1,0,1
MLB604591980,1,treatment,0,1,1,0
MLB10542524060,1,treatment,0,1,1,0
MLB10509701870,1,control,0,1,1,0
MLB10606144850,1,treatment,0,1,1,0
MLB410575022570,2,treatment,0,1,1,1
MLB10550462220,1,treatment,0,1,1,0
MLB10552333880,1,treatment,0,1,1,0
MLB10466978880,1,treatment,0,1,0,0
MLB3678841980,1,treatment,0,1,0,0
MLB1774346640,1,treatment,0,1,0,0
MLB10545160030,1,treatment,0,1,1,0
MLB10657339340,1,treatment,0,1,1,0
MLB10642706010,1,treatment,0,1,1,0
MLB3678841980,1,treatment,0,1,0,0
MLB3999980600,1,treatment,0,1,1,0
MLB49172304010,2,treatment,0,1,0,1
MLB43651245910,2,treatment,0,1,1,1
MLB410635055620,2,treatment,0,1,1,1
MLB10635752700,1,treatment,0,1,1,0
MLB410465471180,2,treatment,0,1,1,1
MLB10502754370,1,treatment,0,1,1,0
MLB2332376080,1,treatment,0,1,1,0
MLB7466058650,1,treatment,0,1,1,0
MLB7050217280,1,treatment,0,1,1,0
MLB42249026390,2,treatment,0,1,1,1
MLB10628770170,1,treatment,0,1,0,0
MLB10568277590,1,treatment,0,1,0,0
MLB2026375510,1,treatment,0,1,1,0
MLB7073188830,1,treatment,0,1,1,0
MLB10495482340,1,treatment,0,1,1,0
MLB1336630660,1,treatment,0,1,0,0
MLB10512448030,1,treatment,0,1,1,0
MLB10638994850,1,treatment,0,1,1,0
MLB6772524520,1,treatment,0,1,0,0
MLB10532693050,1,treatment,0,1,0,0
MLB7069928560,1,treatment,0,1,1,0
MLB5836462190,1,treatment,0,1,1,0
MLB825409520,1,treatment,1,1,1,0
MLB10416154500,1,treatment,0,1,1,0
MLB410534705450,2,treatment,0,1,1,1
MLB10657067200,1,treatment,0,1,1,0
MLB10504436190,1,treatment,0,1,1,0
MLB48035171870,2,treatment,0,1,1,1
MLB2232509520,1,treatment,0,1,1,0
MLB47813965430,2,control,0,1,1,1
MLB44941261340,2,treatment,0,1,1,1
MLB10437735030,1,treatment,0,1,1,0
MLB603464020,1,treatment,0,1,1,0
MLB42642162970,2,treatment,0,1,1,1
MLB6381911920,1,treatment,0,1,1,0
MLB6462219720,1,treatment,0,1,1,0
MLB10565586390,1,treatment,0,1,1,0
MLB6784784420,1,treatment,0,1,0,0
MLB4458235020,1,treatment,0,1,1,0
MLB10502033570,1,control,0,1,1,0
MLB8035171870,1,control,0,1,1,0
MLB8035171870,1,control,0,1,1,0
MLB8035171870,1,treatment,0,1,1,0
MLB8035171870,1,treatment,0,1,1,0
MLB1953691220,1,treatment,0,1,1,0
MLB1100088870,1,treatment,0,1,1,0
MLB10063000160,1,treatment,0,1,1,0
MLB410532389620,2,treatment,0,1,1,1
MLB3874290870,1,treatment,0,1,0,0
MLB2600561820,1,treatment,0,1,1,0
MLB10532389620,1,treatment,0,1,1,0
MLB410656997810,2,treatment,0,1,0,1
MLB10187020580,1,control,0,1,1,0
MLB10510291510,1,treatment,0,1,1,0
MLB10572010480,1,treatment,0,1,1,0
MLB2829289380,1,treatment,0,1,0,0
MLB1662089410,1,treatment,0,1,0,0
MLB10525913140,1,treatment,0,1,1,0
MLB10525913140,1,treatment,0,1,1,0
MLB10595880640-1,1,treatment,0,1,1,0
MLB10617979960,1,treatment,0,1,1,0
MLB10601774330,1,treatment,0,1,1,0
MLB2592894450,1,treatment,0,1,0,0
MLB10525913140,1,control,0,1,1,0
MLB10525913140,1,control,0,1,1,0
MLB8343293060,1,treatment,0,1,1,0
MLB3973529690,1,treatment,0,1,1,0
MLB10520212480,1,treatment,0,1,1,0
MLB41291948010,2,treatment,0,1,1,1
MLB4773716710,1,treatment,0,1,1,0
MLB5312858210,1,treatment,0,1,1,0
MLB410653897690,2,treatment,0,1,1,1
MLB5661699300,1,treatment,0,1,1,0
MLB10646628230,1,treatment,0,1,1,0
MLB7138966160,1,treatment,0,1,0,0
MLB7664001470,1,treatment,0,1,0,0
MLB10646628230,1,treatment,0,1,1,0
MLB410585675640,2,control,0,1,1,1
MLB1047493980,1,treatment,0,1,1,0
MLB1353852630,1,treatment,0,1,1,0
MLB10610619450,1,treatment,0,1,1,0
MLB7465550630,1,treatment,0,1,1,0
MLB6603636280,1,treatment,0,1,0,0
MLB2462336030,1,treatment,0,1,1,0
MLB4743930770,1,treatment,0,1,0,0
MLB41735665390,2,treatment,0,1,1,1
